"","Angle","Quantity"
"1",0,1.79573770491803
"2",0.261799387799149,1.47023411371237
"3",0.523598775598299,1.10033783783784
"4",0.785398163397448,0.885763888888889
"5",1.0471975511966,0.766265060240964
"6",1.30899693899575,0.71877133105802
"7",1.5707963267949,0.938513513513514
"8",1.83259571459405,1.84040404040404
"9",2.0943951023932,2.84324324324324
"10",2.35619449019234,2.96447368421053
"11",2.61799387799149,2.55181518151815
"12",2.87979326579064,2.25847176079734
"13",3.14159265358979,2.18079470198676
"14",3.40339204138894,2.22317880794702
"15",3.66519142918809,2.1476821192053
"16",3.92699081698724,2.07119205298013
"17",4.18879020478639,2.28300653594771
"18",4.45058959258554,2.8538961038961
"19",4.71238898038469,3.47605177993528
"20",4.97418836818384,3.72322580645161
"21",5.23598775598299,3.41585760517799
"22",5.49778714378214,2.55844155844156
"23",5.75958653158129,1.96895424836601
"24",6.02138591938044,1.88
