"","date","drct","sknt"
"1",2023-01-01,3.66519142918809,9
"2",2023-01-02,4.01425727958696,7
"3",2023-01-03,3.83972435438753,10
"4",2023-01-04,3.83972435438753,18
"5",2023-01-05,4.53785605518526,14
"6",2023-01-06,3.83972435438753,11
"7",2023-01-07,3.31612557878923,10
"8",2023-01-08,3.49065850398866,10
"9",2023-01-09,4.01425727958696,15
"10",2023-01-10,3.49065850398866,11
"11",2023-01-11,4.71238898038469,14
"12",2023-01-12,4.01425727958696,17
"13",2023-01-13,4.36332312998582,17
"14",2023-01-14,3.49065850398866,14
"15",2023-01-15,4.36332312998582,17
"16",2023-01-16,3.14159265358979,16
"17",2023-01-17,2.26892802759263,9
"18",2023-01-18,5.06145483078356,8
"19",2023-01-19,4.18879020478639,10
"20",2023-01-20,3.49065850398866,8
"21",2023-01-21,0.698131700797732,14
"22",2023-01-22,0.174532925199433,9
"23",2023-01-23,0.872664625997165,13
"24",2023-01-24,0.698131700797732,12
"25",2023-01-25,0.872664625997165,5
"26",2023-01-26,0.698131700797732,7
"27",2023-01-27,0.523598775598299,11
"28",2023-01-28,0.523598775598299,11
"29",2023-01-29,4.01425727958696,6
"30",2023-01-30,4.53785605518526,14
"31",2023-01-31,4.18879020478639,11
"32",2023-02-01,4.53785605518526,16
"33",2023-02-02,4.71238898038469,15
"34",2023-02-03,4.71238898038469,16
"35",2023-02-04,0.698131700797732,5
"36",2023-02-05,5.93411945678072,16
"37",2023-02-06,0.698131700797732,12
"38",2023-02-07,0.872664625997165,7
"39",2023-02-08,1.22173047639603,8
"40",2023-02-09,4.18879020478639,4
"41",2023-02-10,4.36332312998582,6
"42",2023-02-11,4.53785605518526,7
"43",2023-02-12,1.0471975511966,10
"44",2023-02-14,2.61799387799149,6
"45",2023-02-15,3.31612557878923,5
"46",2023-02-16,3.31612557878923,8
"47",2023-02-17,4.01425727958696,14
"48",2023-02-18,4.36332312998582,18
"49",2023-02-19,4.18879020478639,11
"50",2023-02-20,4.36332312998582,12
"51",2023-02-21,4.01425727958696,4
"52",2023-02-22,2.79252680319093,6
"53",2023-02-23,0.523598775598299,3
"54",2023-02-24,4.53785605518526,10
"55",2023-02-25,5.75958653158129,9
"56",2023-02-26,0.872664625997165,20
"57",2023-02-27,0.872664625997165,17
"58",2023-02-28,1.0471975511966,16
"59",2023-03-01,0.872664625997165,14
"60",2023-03-02,0.698131700797732,9
"61",2023-03-03,0.698131700797732,11
"62",2023-03-04,0.349065850398866,9
"63",2023-03-05,5.75958653158129,7
"64",2023-03-06,4.36332312998582,9
"65",2023-03-07,4.01425727958696,13
"66",2023-03-08,3.83972435438753,12
"67",2023-03-09,3.83972435438753,16
"68",2023-03-10,4.18879020478639,20
"69",2023-03-11,3.31612557878923,4
"70",2023-03-12,4.53785605518526,14
"71",2023-03-13,3.83972435438753,16
"72",2023-03-14,4.88692190558412,25
"73",2023-03-15,4.88692190558412,6
"74",2023-03-16,2.79252680319093,9
"75",2023-03-17,3.14159265358979,10
"76",2023-03-18,2.96705972839036,8
"77",2023-03-19,3.49065850398866,7
"78",2023-03-20,4.01425727958696,8
"79",2023-03-21,2.79252680319093,10
"80",2023-03-22,4.18879020478639,16
"81",2023-03-23,3.83972435438753,17
"82",2023-03-24,4.53785605518526,15
"83",2023-03-25,4.53785605518526,26
"84",2023-03-26,4.36332312998582,17
"85",2023-03-27,5.75958653158129,11
"86",2023-03-28,3.14159265358979,8
"87",2023-03-29,4.01425727958696,11
"88",2023-03-30,4.18879020478639,19
"89",2023-03-31,4.18879020478639,22
"90",2023-04-01,4.53785605518526,18
"91",2023-04-02,0.523598775598299,14
"92",2023-04-03,1.22173047639603,12
"93",2023-04-04,1.22173047639603,10
"94",2023-04-06,3.83972435438753,10
"95",2023-04-07,5.75958653158129,7
"96",2023-04-08,0.698131700797732,6
"97",2023-04-09,3.14159265358979,5
